rank,ticker,company,sector,industry,latest_price,market_cap,momentum_20d,momentum_5d,volume_ratio,vol_5_50,rs_vs_iwm,bb_width,low_vol,near_high,pct_vs_sma20,pct_vs_sma50,atr_pct,sales_qq,eps_qq,fwd_pe,recom,target_upside,beta,earnings,short_float,review_flag,data_confidence,composite_score,composite_legacy,composite_dedup,rank_low_vol,rank_near_high,rank_vol_5_50,market_cap_display
40,MDU,MDU Resources Group Inc,Utilities,Utilities - Regulated Gas,18.56,3900000000.0,-6.97,-0.85,3.09,1.719,-1.68,0.1178,-1.0724,-15.37,-4.88,-8.09,2.036,6.87,49.4,17.57,1.75,27.7,0.73,Aug 06/b,7.85,,HIGH,0.7479,0.6862,0.7663,0.9348370927318296,0.6578947368421053,0.8740601503759399,$3.9B
41,NTCT,Netscout Systems Inc,Technology,Software - Infrastructure,38.21,2780000000.0,-0.73,2.25,2.43,1.438,4.56,0.075,-1.5631,-15.61,0.3,-3.12,2.492,12.68,670.57,13.19,2.0,24.8,0.69,Aug 06/b,5.49,,HIGH,0.7464,0.8032,0.7257,0.8471177944862155,0.649749373433584,0.7468671679197995,$2.8B
42,NSP,Insperity Inc,Industrials,Staffing & Employment Services,50.31,1920000000.0,-4.7,-1.28,3.52,1.157,0.59,0.0923,-2.0182,-10.0,-2.05,-1.37,4.545,1.69,177.96,18.65,3.0,2.9,0.56,Jul 29/a,8.75,,HIGH,0.7447,0.7766,0.6906,0.7105263157894737,0.8289473684210527,0.48621553884711777,$1.9B
43,VGZ,Vista Gold Corp,Basic Materials,Gold,2.26,329900000.0,-9.24,4.15,4.02,1.743,-3.95,0.1714,-3.1109,-11.02,0.18,10.18,4.867,,-7.41,,1.0,99.1,1.32,Jul 29/a,5.43,,HIGH,0.743,0.6077,0.7805,0.38847117794486213,0.8007518796992481,0.8822055137844611,$330M
44,LILA,Liberty Latin America Ltd,Communication Services,Telecom Services,8.41,1640000000.0,-0.71,-5.19,3.2,0.902,4.58,0.0713,-1.9674,-6.03,-2.54,1.71,2.433,1.46,93.94,68.44,2.6,9.0,0.64,Aug 05/a,3.51,,HIGH,0.7426,0.8541,0.6465,0.7230576441102757,0.9348370927318296,0.21804511278195488,$1.6B
45,SHEN,Shenandoah Telecommunications Co,Communication Services,Telecom Services,11.57,640570000.0,-6.16,-1.87,8.51,3.418,-0.87,0.1193,-1.5132,-27.42,-4.49,-5.83,3.828,5.53,12.85,,1.5,137.7,0.75,Jul 29/b,6.42,,HIGH,0.74,0.744,0.8362,0.8571428571428571,0.3408521303258145,0.993734335839599,$641M
46,KFY,Korn Ferry,Industrials,Staffing & Employment Services,76.78,4190000000.0000005,-9.73,-2.04,3.35,1.807,-4.44,0.1717,-1.4937,-12.26,-6.38,-5.68,3.063,6.860000000000001,5.26,12.08,1.6,17.5,1.26,Sep 09/b,4.14,,HIGH,0.7376,0.5811,0.7826,0.8621553884711779,0.7612781954887218,0.8959899749373433,$4.2B
47,SONO,Sonos Inc,Technology,Consumer Electronics,15.53,1840000000.0,-1.9,-0.32,3.8,1.435,3.39,0.1215,-2.8672,-11.76,0.93,0.77,4.549,8.85,978.29,59.73,1.5,26.7,1.89,Jul 29/a,9.69,,HIGH,0.7368,0.7922,0.7245,0.47619047619047616,0.7794486215538847,0.7443609022556391,$1.8B
48,CE,Celanese Corp,Basic Materials,Chemicals,45.41,4980000000.0,-2.97,1.41,2.51,1.278,2.32,0.0844,-2.5533,-8.56,-0.11,0.0,3.962,8.69,-37.48,7.19,1.86,36.4,0.75,Aug 04/a,5.94,,HIGH,0.7327,0.7616,0.6579,0.5614035087719298,0.868421052631579,0.6159147869674185,$5.0B
49,COLM,Columbia Sportswear Co,Consumer Cyclical,Apparel Manufacturing,56.84,2910000000.0,-5.78,-1.44,2.23,1.284,-0.49,0.0786,-1.4079,-13.09,-1.25,-4.15,2.403,1.5,378.34,13.56,2.55,22.9,0.93,Jul 30/a,19.67,,HIGH,0.7258,0.6917,0.6745,0.8809523809523809,0.7393483709273183,0.6215538847117794,$2.9B
50,PUBM,PubMatic Inc,Technology,Software - Application,17.55,799400000.0,6.95,5.79,1.88,1.165,12.24,0.0973,-2.2093,-8.55,5.48,14.24,4.109,10.55,76.36,118.25,1.54,17.6,1.57,Aug 06/a,6.15,,HIGH,0.7212,0.7713,0.6515,0.656641604010025,0.8703007518796992,0.5056390977443609,$799M
