Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-12-23,TOTAL,,,,,,259.76,18.11,,124.57,384.33
2025-12-24,ATRA,2.0,13.9,27.8,10.0,17.59,35.18,7.38,HOLD,,
2025-12-24,SGML,3.0,10.211142857146664,30.633428571439993,9.2,13.51,40.53,9.9,HOLD,,
2025-12-24,HDSN,9.0,7.0294,63.2646,5.9,6.96,62.64,-0.62,HOLD,,
2025-12-24,FCEL,6.0,8.3,49.8,6.8,8.77,52.62,2.82,HOLD,,
2025-12-24,ANIX,10.0,3.376,33.76,2.5,3.42,34.2,0.44,HOLD,,
2025-12-24,FBIO,10.0,3.64,36.4,2.8,3.67,36.7,0.3,HOLD,,
2025-12-24,TOTAL,,,,,,261.87,20.22,,124.57,386.44
2025-12-26,ATRA,2.0,13.9,27.8,10.0,17.27,34.54,6.74,HOLD,,
2025-12-26,SGML,3.0,10.211142857146664,30.633428571439993,9.2,14.5,43.5,12.87,HOLD,,
2025-12-26,HDSN,9.0,7.0294,63.2646,5.9,7.0,63.0,-0.26,HOLD,,
2025-12-26,FCEL,6.0,8.3,49.8,6.8,8.48,50.88,1.08,HOLD,,
2025-12-26,ANIX,10.0,3.376,33.76,2.5,3.2,32.0,-1.76,HOLD,,
2025-12-26,FBIO,10.0,3.64,36.4,2.8,3.74,37.4,1.0,HOLD,,
2025-12-26,TOTAL,,,,,,261.32,19.67,,124.57,385.89
2025-12-29,ATRA,2.0,13.9,27.8,14.9,17.99,35.98,8.18,HOLD,,
2025-12-29,HDSN,9.0,7.0294,63.2646,5.9,6.85,61.65,-1.61,HOLD,,
2025-12-29,FCEL,6.0,8.3,49.8,6.8,8.16,48.96,-0.84,HOLD,,
2025-12-29,ANIX,10.0,3.376,33.76,2.5,3.18,31.8,-1.96,HOLD,,
2025-12-29,FBIO,10.0,3.64,36.4,2.8,3.58,35.8,-0.6,HOLD,,
2025-12-29,AMTX,60.0,1.4,84.0,1.05,1.32,79.2,-4.8,HOLD,,
2025-12-29,TOTAL,,,,,,293.39,-1.63,,79.21,372.6
2025-12-30,ATRA,2.0,13.9,27.8,14.9,17.88,35.76,7.96,HOLD,,
2025-12-30,HDSN,9.0,7.0294,63.2646,5.9,6.85,61.65,-1.61,HOLD,,
2025-12-30,ANIX,10.0,3.376,33.76,2.5,3.12,31.2,-2.56,HOLD,,
2025-12-30,FBIO,10.0,3.64,36.4,2.8,3.58,35.8,-0.6,HOLD,,
2025-12-30,AMTX,60.0,1.4,84.0,1.05,1.43,85.8,1.8,HOLD,,
2025-12-30,TOTAL,,,,,,250.21,4.99,,126.61,376.82
2025-12-31,ATRA,2.0,13.9,27.8,14.9,18.09,36.18,8.38,HOLD,,
2025-12-31,HDSN,9.0,7.0294,63.2646,5.9,6.85,61.65,-1.61,HOLD,,
2025-12-31,ANIX,10.0,3.376,33.76,2.5,3.12,31.2,-2.56,HOLD,,
2025-12-31,FBIO,10.0,3.64,36.4,2.8,3.66,36.6,0.2,HOLD,,
2025-12-31,AMTX,60.0,1.4,84.0,1.25,1.39,83.4,-0.6,HOLD,,
2025-12-31,TOTAL,,,,,,249.03,3.81,,126.61,375.64
2026-01-02,ATRA,2.0,13.9,27.8,14.9,17.77,35.54,7.74,HOLD,,
2026-01-02,HDSN,9.0,7.0294,63.2646,5.9,6.8,61.2,-2.06,HOLD,,
2026-01-02,ANIX,10.0,3.376,33.76,2.5,3.16,31.6,-2.16,HOLD,,
2026-01-02,FBIO,10.0,3.64,36.4,3.4,4.03,40.3,3.9,HOLD,,
2026-01-02,AMTX,60.0,1.4,84.0,1.35,1.59,95.4,11.4,HOLD,,
2026-01-02,TOTAL,,,,,,264.04,18.82,,126.61,390.65
2026-01-05,ATRA,2.0,13.9,27.8,14.9,16.86,33.72,5.92,HOLD,,
2026-01-05,HDSN,9.0,7.0294,63.2646,5.9,6.98,62.82,-0.44,HOLD,,
2026-01-05,FBIO,10.0,3.64,36.4,3.4,4.27,42.7,6.3,HOLD,,
2026-01-05,AMTX,60.0,1.4,84.0,1.35,1.61,96.6,12.6,HOLD,,
2026-01-05,AQST,15.0,6.46,96.9,5.5,6.23,93.45,-3.45,HOLD,,
2026-01-05,TOTAL,,,,,,329.29,20.93,,62.01,391.3
2026-01-06,HDSN,9.0,7.0294,63.2646,5.9,6.98,62.82,-0.44,HOLD,,
2026-01-06,FBIO,10.0,3.64,36.4,3.4,4.21,42.1,5.7,HOLD,,
2026-01-06,AMTX,60.0,1.4,84.0,1.35,1.62,97.2,13.2,HOLD,,
2026-01-06,AQST,15.0,6.46,96.9,5.5,6.24,93.6,-3.3,HOLD,,
2026-01-06,TOTAL,,,,,,295.72,15.16,,93.85,389.57
2026-01-07,HDSN,9,7.0294,63.2646,5.9,7.04,63.36,0.1,HOLD,,
2026-01-07,FBIO,10,3.64,36.4,3.4,4.27,42.7,6.3,HOLD,,
2026-01-07,AMTX,60,1.4,84.0,1.35,1.54,92.4,8.4,HOLD,,
2026-01-07,AQST,15,6.46,96.9,5.5,6.23,93.45,-3.45,HOLD,,
2026-01-07,TOTAL,,,,,,291.91,11.35,,93.85,385.76
