horizon,phase,signal,n,mean_ic,sd,t_indep,all_positive,first,last
40,2,vs_sma50,2,0.1000242439005766,0.017948889617451124,7.881024693180854,True,2026-05-01,2026-07-02
40,3,composite,2,0.13273874561226506,0.04613668428216949,4.0687998545618544,True,2026-05-08,2026-07-10
40,3,low_vol,2,0.18723973098587215,0.054831054385059745,4.829324731122837,True,2026-05-08,2026-07-10
40,3,mom20,2,0.0561271989384063,0.06011707422958358,1.3203544412952513,True,2026-05-08,2026-07-10
40,3,mom5,2,0.048970402471928895,0.07838846931653254,0.8834795210890108,False,2026-05-08,2026-07-10
40,3,mom60_riskadj,2,-0.004475132615239408,0.08162483410251797,-0.07753514365420948,False,2026-05-08,2026-07-10
40,3,mom60_skip5,2,0.0011310675251766482,0.059795005183298104,0.02675091387919771,False,2026-05-08,2026-07-10
40,3,near_high,2,0.16179262237635209,0.010017729157586579,22.84043791334337,True,2026-05-08,2026-07-10
40,3,squeeze,2,0.14463220651193856,0.037247252571275105,5.491433968551836,True,2026-05-08,2026-07-10
40,3,squeeze_own,2,-0.038670171239151785,0.0036983843257721604,-14.78696528227378,False,2026-05-08,2026-07-10
40,3,vol_5_50,2,0.1435567980202045,0.01108945429362252,18.307480724978852,True,2026-05-08,2026-07-10
40,3,vol_ratio,2,0.10671734103843636,0.004557305848742269,33.11630073689326,True,2026-05-08,2026-07-10
40,3,vs_sma20,2,0.11941941277747889,0.08795017397740901,1.920229892938261,True,2026-05-08,2026-07-10
40,3,vs_sma50,2,0.05534130043160124,0.027625497996580338,2.8330500192040904,True,2026-05-08,2026-07-10
40,4,composite,2,0.07107149932233328,0.09209777646674493,1.0913431582805548,True,2026-05-15,2026-07-17
40,4,low_vol,2,0.1455486250329091,0.006565228787528933,31.35257675974618,True,2026-05-15,2026-07-17
40,4,mom20,2,0.03704604192101638,0.07454909475087367,0.7027719798881878,False,2026-05-15,2026-07-17
40,4,mom5,2,-0.020818221888108855,0.038689886514883115,-0.7609588549020564,False,2026-05-15,2026-07-17
40,4,mom60_riskadj,2,-0.035534176508165254,0.042542115102729115,-1.1812509609420656,False,2026-05-15,2026-07-17
40,4,mom60_skip5,2,-0.01718631070360877,0.020026471231338504,-1.2136493445818581,False,2026-05-15,2026-07-17
40,4,near_high,2,0.06860413134184805,0.019707517145774733,4.923039886801154,True,2026-05-15,2026-07-17
40,4,squeeze,2,0.10126385333498622,0.06954733396027854,2.0591546305181176,True,2026-05-15,2026-07-17
40,4,squeeze_own,2,-0.029740488981139075,0.09602149533622159,-0.4380207027755864,False,2026-05-15,2026-07-17
40,4,vol_5_50,2,0.04379425127803861,0.0027185862590278493,22.781849906622,True,2026-05-15,2026-07-17
40,4,vol_ratio,2,0.06399011136870174,0.028907406600483992,3.1305362188342283,True,2026-05-15,2026-07-17
40,4,vs_sma20,2,0.024758298761910266,0.08050478664216587,0.4349247212592391,False,2026-05-15,2026-07-17
40,4,vs_sma50,2,0.009089343886516239,0.053112406236900694,0.24202016643812932,False,2026-05-15,2026-07-17
