date,horizon,signal,q,median,mean
2026-08-14,10,mom5,2,-0.010339020371340768,-0.0015039050488150148
2026-08-14,10,mom5,3,-0.009708728874782357,-0.008521408699996878
2026-08-14,10,mom5,4,-0.029340275037852248,-0.02045716344085831
2026-08-14,10,mom5,5,-0.041763301793117935,-0.03603130565258583
2026-08-14,10,mom60_skip5,1,-0.0487012534624881,-0.03279989459833784
2026-08-14,10,mom60_skip5,2,-0.024599039182917615,-0.018381419414777608
2026-08-14,10,mom60_skip5,3,-0.017530986725886155,-0.015175889032048655
2026-08-14,10,mom60_skip5,4,-0.012903213897927035,-0.01338522608901957
2026-08-14,10,mom60_skip5,5,-0.011217859781313066,0.002787302708580367
2026-08-14,10,mom60_riskadj,1,-0.03728818024961533,-0.027448026048118725
2026-08-14,10,mom60_riskadj,2,-0.032917133716282465,-0.027020619452117582
2026-08-14,10,mom60_riskadj,3,-0.022769257092355777,-0.01105882677620251
2026-08-14,10,mom60_riskadj,4,-0.0134529018534425,-0.01753716554934952
2026-08-14,10,mom60_riskadj,5,-0.008018293069267157,0.006129400589826798
2026-08-14,10,vol_5_50,1,-0.02221370187039018,-0.015629285727948552
2026-08-14,10,vol_5_50,2,-0.01982099826161765,-0.01638862577201023
2026-08-14,10,vol_5_50,3,-0.018404890477013436,-0.010628773122085147
2026-08-14,10,vol_5_50,4,-0.014276624318894093,-0.010051548473154297
2026-08-14,10,vol_5_50,5,-0.035007542301336736,-0.024826818312266474
2026-08-14,10,squeeze_own,1,-0.025220657452023842,-0.01588489166442556
2026-08-14,10,squeeze_own,2,-0.01274666353114684,-0.015927060674857985
2026-08-14,10,squeeze_own,3,-0.00851070603277837,-0.007836318469444183
2026-08-14,10,squeeze_own,4,-0.03064274063632172,-0.027727230508105324
2026-08-14,10,squeeze_own,5,-0.023558780361847054,-0.008465259789411955
2026-08-14,10,low_vol,1,-0.06493506493506496,-0.05601604504607918
2026-08-14,10,low_vol,2,-0.02806043007767195,-0.015591586827798137
2026-08-14,10,low_vol,3,-0.01721898331804006,0.0075775968618983815
2026-08-14,10,low_vol,4,-0.00990664166122418,-0.0065852794218141195
2026-08-14,10,low_vol,5,-0.012611353083373689,-0.007776829938223048
2026-08-14,10,near_high,1,-0.06157635554764218,-0.044801711575478784
2026-08-14,10,near_high,2,-0.032917133716282465,-0.019299918493285773
2026-08-14,10,near_high,3,-0.015416012146148184,-0.0011989396107658118
2026-08-14,10,near_high,4,-0.01595467519996574,-0.012005099945386163
2026-08-14,10,near_high,5,-0.003379961632113626,0.0003086998718343809
2026-08-14,10,vs_sma50,1,-0.04788518142247722,-0.036931117307945814
2026-08-14,10,vs_sma50,2,-0.027624283920971493,-0.021431236197500786
2026-08-14,10,vs_sma50,3,-0.021405649902662582,-0.018741997682414326
2026-08-14,10,vs_sma50,4,-0.011948539804551128,-0.009545527370225097
2026-08-14,10,vs_sma50,5,-0.001177883292277082,0.009227734549558508
2026-08-14,10,vs_sma20,1,-0.033866383142196255,-0.022035748894239697
2026-08-14,10,vs_sma20,2,-0.02533727647056566,-0.029767659261169865
2026-08-14,10,vs_sma20,3,-0.01333341418906997,0.001433559679680469
2026-08-14,10,vs_sma20,4,-0.01331539315673863,-0.0037749956024636256
2026-08-14,10,vs_sma20,5,-0.025842715892928414,-0.02430168205752684
2026-08-14,10,rule5,1,-0.05714287353253367,-0.046685632009952856
2026-08-14,10,rule5,2,-0.036321431885283695,-0.027029561737051736
2026-08-14,10,rule5,3,-0.010852106217284163,0.004892971907309291
2026-08-14,10,rule5,4,-0.01164017554470198,0.004895483329215757
2026-08-14,10,rule5,5,-0.010909109404592776,-0.013070231242602608
2026-08-14,10,rule5_mom20,1,-0.059440504933889304,-0.044679809116832676
2026-08-14,10,rule5_mom20,2,-0.04055222267825975,-0.028426634769059895
2026-08-14,10,rule5_mom20,3,-0.011834378377890364,0.0012659680842932704
2026-08-14,10,rule5_mom20,4,-0.008090568816592758,0.0062099217545144485
2026-08-14,10,rule5_mom20,5,-0.0101009974807027,-0.011366415705997293
2026-08-14,20,mom20,1,-0.07926012097661317,-0.07190387311142919
2026-08-14,20,mom20,2,-0.05453230555556737,-0.05130802885870231
2026-08-14,20,mom20,3,-0.045329246026216685,-0.033060097590602223
2026-08-14,20,mom20,4,-0.04917721336984693,-0.05122247024473508
2026-08-14,20,mom20,5,-0.06858629066615968,-0.05970222826624509
2026-08-14,20,vol_ratio,1,-0.0712179725065697,-0.06551063801135178
2026-08-14,20,vol_ratio,2,-0.05511302637371601,-0.0625531036255668
2026-08-14,20,vol_ratio,3,-0.054119553319907476,-0.040577186375369924
2026-08-14,20,vol_ratio,4,-0.04949488780375316,-0.03538589331965262
2026-08-14,20,vol_ratio,5,-0.06199826959407151,-0.06320601658969953
2026-08-14,20,squeeze,1,-0.0932971128967961,-0.07828153580162531
2026-08-14,20,squeeze,2,-0.0785416534672283,-0.06778775611964277
2026-08-14,20,squeeze,3,-0.05340582193305721,-0.04498432687683346
