date,horizon,signal,ic
2026-06-18,5,squeeze,0.2853573891811059
2026-06-18,5,composite,0.3078604461198467
2026-06-18,5,mom5,-0.010613368372447906
2026-06-18,5,mom60_skip5,-0.011696379883435514
2026-06-18,5,mom60_riskadj,0.016308539434404364
2026-06-18,5,vol_5_50,0.14313575586894936
2026-06-18,5,squeeze_own,0.11597727535671584
2026-06-18,5,low_vol,0.31282113893952884
2026-06-18,5,near_high,0.23754285733521874
2026-06-18,5,vs_sma50,0.07929094196762117
2026-06-18,5,vs_sma20,0.21481127290865845
2026-06-18,5,rule5,0.3211446332883998
2026-06-18,5,rule5_mom20,0.3167811307550266
2026-06-18,10,mom20,0.049537217834620985
2026-06-18,10,vol_ratio,0.19851113670901488
2026-06-18,10,squeeze,0.1991261127541621
2026-06-18,10,composite,0.2083405083593839
2026-06-18,10,mom5,-0.01794311045801925
2026-06-18,10,mom60_skip5,-0.09992646346860684
2026-06-18,10,mom60_riskadj,-0.07512198635047425
2026-06-18,10,vol_5_50,0.11543361584544445
2026-06-18,10,squeeze_own,0.07063792320539317
2026-06-18,10,low_vol,0.23095535023702762
2026-06-18,10,near_high,0.12422491253020791
2026-06-18,10,vs_sma50,-0.01836732183313242
2026-06-18,10,vs_sma20,0.12136043447740566
2026-06-18,10,rule5,0.2091650495517354
2026-06-18,10,rule5_mom20,0.1999290215317555
2026-06-18,20,mom20,0.0537059072605515
2026-06-18,20,vol_ratio,0.26497667763872906
2026-06-18,20,squeeze,0.35494396629876823
2026-06-18,20,composite,0.29826050790970127
2026-06-18,20,mom5,-0.09911514906475352
2026-06-18,20,mom60_skip5,-0.09090274514540518
2026-06-18,20,mom60_riskadj,-0.06533633934301822
2026-06-18,20,vol_5_50,0.15067086837018112
2026-06-18,20,squeeze_own,0.1255549022004389
2026-06-18,20,low_vol,0.3973101506100664
2026-06-18,20,near_high,0.20201670267419708
2026-06-18,20,vs_sma50,-0.0046035274337618394
2026-06-18,20,vs_sma20,0.11125965779304924
2026-06-18,20,rule5,0.3294235594641392
2026-06-18,20,rule5_mom20,0.30360188911542196
2026-06-26,5,mom20,-0.039785353935926734
2026-06-26,5,vol_ratio,0.07079633740282014
2026-06-26,5,squeeze,0.0033225740572894024
2026-06-26,5,composite,0.0055691103897374545
2026-06-26,5,mom5,0.1193508725520486
2026-06-26,5,mom60_skip5,-0.1672005392339437
2026-06-26,5,mom60_riskadj,-0.15378759172296289
2026-06-26,5,vol_5_50,0.0373312280980197
2026-06-26,5,squeeze_own,-0.04709372356417711
2026-06-26,5,low_vol,0.0249927571677803
2026-06-26,5,near_high,-0.0065086116250502824
2026-06-26,5,vs_sma50,-0.07222407558917665
2026-06-26,5,vs_sma20,0.04874780430501691
2026-06-26,5,rule5,0.005078439657591737
2026-06-26,5,rule5_mom20,-0.003822022022763663
2026-06-26,10,mom20,0.1112653550448588
2026-06-26,10,vol_ratio,0.16225504913373545
