date,horizon,signal,partial_ic
2026-05-22,5,composite,0.08715379533036223
2026-05-22,5,mom5,0.07326677120406534
2026-05-22,5,mom60_skip5,0.05662879009467435
2026-05-22,5,mom60_riskadj,0.042159542485405155
2026-05-22,5,vol_5_50,0.036975182873580426
2026-05-22,5,squeeze_own,0.014482632311715544
2026-05-22,5,near_high,0.0869059575503184
2026-05-22,5,vs_sma50,0.10177481903385932
2026-05-22,5,vs_sma20,0.06201390371715879
2026-05-22,5,rule5,0.09491188994648601
2026-05-22,5,rule5_mom20,0.0914904067109687
2026-05-22,10,mom20,0.1041518506486266
2026-05-22,10,vol_ratio,-0.021229957706042954
2026-05-22,10,squeeze,0.0071098057605609695
2026-05-22,10,composite,0.07233027317055851
2026-05-22,10,mom5,0.02117027183754696
2026-05-22,10,mom60_skip5,0.09327435135775163
2026-05-22,10,mom60_riskadj,0.08046049419509452
2026-05-22,10,vol_5_50,-0.010451521681017907
2026-05-22,10,squeeze_own,-0.030722312034654302
2026-05-22,10,near_high,0.1880641367680767
2026-05-22,10,vs_sma50,0.1453282457417044
2026-05-22,10,vs_sma20,0.10131985944423419
2026-05-22,10,rule5,0.1157056017940867
2026-05-22,10,rule5_mom20,0.12265520254104482
2026-05-22,20,mom20,0.09580342120875837
2026-05-22,20,vol_ratio,-0.05867824481343164
2026-05-22,20,squeeze,-0.008444016124102878
2026-05-22,20,composite,0.03149210700540547
2026-05-22,20,mom5,0.07508467987667378
2026-05-22,20,mom60_skip5,0.05555109914526539
2026-05-22,20,mom60_riskadj,0.05227205478736945
2026-05-22,20,vol_5_50,0.009599861416535323
2026-05-22,20,squeeze_own,-0.055021397713526196
2026-05-22,20,near_high,0.14242228283988867
2026-05-22,20,vs_sma50,0.11175748009619135
2026-05-22,20,vs_sma20,0.07868668749330794
2026-05-22,20,rule5,0.07700132212091416
2026-05-22,20,rule5_mom20,0.08804859714210747
2026-05-29,5,mom20,-0.04294213814058084
2026-05-29,5,vol_ratio,0.06374298149581203
2026-05-29,5,squeeze,0.026143054177984928
2026-05-29,5,composite,0.01928064598029543
2026-05-29,5,mom5,-0.08944104815147831
2026-05-29,5,mom60_skip5,0.0806506025557358
2026-05-29,5,mom60_riskadj,0.09087789171232454
