ticker,entry,exit,cost,exit_px,shares,pnl,ret,kind,era,spy,iwm,vs_spy,vs_iwm,days,after20_vs_spy
SGML,2025-11-27,2025-12-22,10.211142857146664,13.62,5.0,17.044285714266678,0.33383698480601653,discretionary,pre-pivot,0.005068359616558604,0.02283562574245801,0.32876862518945793,0.3110013590635585,16,-0.07717095407221919
SGML,2025-11-27,2025-12-23,10.211142857146664,13.94,2.0,7.457714285706672,0.3651752986927952,discretionary,pre-pivot,0.00966186802133473,0.016785291617355425,0.35551343067146046,0.34839000707543977,17,0.09081523178069162
SGML,2025-11-27,2025-12-29,10.211142857146665,12.88,3.0,8.006571428560008,0.26136713394284095,discretionary,pre-pivot,0.00950045471968708,0.007911455840851733,0.25186667922315387,0.2534556781019892,20,-0.023481615517062404
FCEL,2025-12-10,2025-12-30,8.3,7.9,6.0,-2.3999999999999986,-0.048192771084337394,discretionary,pre-pivot,0.0021380165598481327,-0.023343819117114473,-0.050330787644185526,-0.02484895196722292,13,0.1220091066193496
ANIX,2025-12-15,2026-01-05,3.376,3.23,10.0,-1.4600000000000009,-0.04324644549763035,discretionary,pre-pivot,0.013253534200262873,0.006539477128165938,-0.05649997969789322,-0.049785922625796286,13,-0.04665714531835474
ATRA,2025-11-24,2026-01-06,13.9,16.97,1.0,3.0699999999999985,0.22086330935251786,discretionary,pre-pivot,0.03757008607754875,0.07102429028813173,0.1832932232749691,0.14983901906438613,28,-0.6583142931033781
ATRA,2025-11-24,2026-01-06,13.9,14.87,1.0,0.9699999999999988,0.06978417266187043,discretionary,pre-pivot,0.03757008607754875,0.07102429028813173,0.03221408658432168,-0.0012401176262613056,28,-0.6583142931033781
AQST,2026-01-05,2026-01-12,6.460000000000001,3.9,15.0,-38.400000000000006,-0.39628482972136236,discretionary,pre-pivot,0.010818425087462114,0.034701187929714994,-0.4071032548088245,-0.43098601765107736,5,0.10408822473174761
FBIO,2025-12-22,2026-01-14,3.6399999999999997,3.74,10.0,1.000000000000007,0.027472527472527597,discretionary,pre-pivot,0.008074966472195966,0.037897292368568536,0.01939756100033163,-0.010424764896040939,15,0.07719141597003443
RGNX,2026-01-12,2026-01-15,14.900000000000002,13.81,3.0,-3.270000000000003,-0.07315436241610751,discretionary,pre-pivot,-0.004200427369372428,0.015334572108524291,-0.06895393504673508,-0.0884889345246318,3,-0.4041776432734874
AMTX,2025-12-29,2026-01-20,1.4,1.44,60.0,2.4,0.028571428571428692,stop,pre-pivot,-0.014930615918311574,0.050824143649190745,0.043502044489740266,-0.022252715077762053,14,-0.012854602524894121
RGNX,2026-01-12,2026-01-23,14.9,14.8,3.0,-0.3,-0.006711409395973145,stop,pre-pivot,-0.008530486634597545,0.012657713255462388,0.0018190772386244003,-0.019369122651435533,8,-0.4142964164800601
KOD,2026-01-20,2026-01-27,26.7,24.5,2.0,-4.4,-0.08239700374531833,stop,pre-pivot,0.02643228154828603,0.008188275457616134,-0.10882928529360436,-0.09058527920293447,5,0.12933261301329857
KOD,2026-02-02,2026-02-05,23.06,21.9,2.0,-2.3200000000000003,-0.050303555941023426,discretionary,pre-pivot,-0.025582081176821925,-0.024219972610592944,-0.0247214747642015,-0.026083583330430482,3,0.1909790558860941
KOD,2026-02-02,2026-02-05,23.06,21.9,2.0,-2.3200000000000003,-0.050303555941023426,discretionary,pre-pivot,-0.025582081176821925,-0.024219972610592944,-0.0247214747642015,-0.026083583330430482,3,0.1909790558860941
VNDA,2026-01-26,2026-02-12,7.85,6.75,14.0,-15.4,-0.14012738853503182,stop,pre-pivot,-0.016543112485599476,-0.016819385712815826,-0.12358427604943234,-0.12330800282221599,13,0.46740237536633533
PESI,2026-02-02,2026-02-19,15.47,13.48,4.0,-7.960000000000001,-0.1286360698125404,discretionary,pre-pivot,-0.015717500895155667,0.009230389538493311,-0.11291856891738472,-0.1378664593510337,12,-0.07319336556550293
HDSN,2025-12-09,2026-03-11,7.028888888888888,5.89,9.0,-10.25,-0.1620297186215618,stop,pre-pivot,-0.00689781249681054,0.009180599179871463,-0.15513190612475125,-0.17121031780143325,62,0.029060968152809785
ALDX,2026-02-23,2026-03-13,5.075333333333333,4.27,15.0,-12.08,-0.15867594903454618,stop,pre-pivot,-0.029455284650315994,-0.053361011306380046,-0.1292206643842302,-0.10531493772816614,14,-0.6024165658606868
ALDX,2026-03-13,2026-03-17,4.1882,1.33,8.0,-22.8656,-0.6824411441669452,discretionary,pre-pivot,0.012834193209294131,0.01583521325652204,-0.6952753373762394,-0.6982763574234673,2,0.42950048462703894
VNDA,2026-02-17,2026-03-20,6.06,8.02,10.0,19.6,0.32343234323432335,stop,pre-pivot,-0.04760741428760218,-0.07751344493271872,0.37103975752192553,0.40094578816704207,23,-0.11100080444482507
RCKT,2026-01-26,2026-03-30,3.928,3.5,25.0,-10.7,-0.1089613034623218,stop,pre-pivot,-0.08521944149591276,-0.09070304378168426,-0.02374186196640904,-0.018258259680637545,44,-0.13049931139012494
GRCE,2026-04-07,2026-04-07,4.2,3.62,24.0,-13.92,-0.13809523809523816,stop,pre-pivot,0.0,0.0,-0.13809523809523816,-0.13809523809523816,0,-0.3982191942013511
REPL,2026-03-30,2026-04-08,7.430000000000001,5.9,7.0,-10.71,-0.20592193808882908,stop,pre-pivot,0.06968689987427701,0.08705814528073796,-0.2756088379631061,-0.29298008336956705,6,-0.500994323780846
REPL,2026-03-30,2026-04-10,7.43,1.84,3.0,-16.77,-0.7523553162853297,discretionary,pre-pivot,0.0751460297837081,0.09052207751197971,-0.8275013460690378,-0.8428773937973094,8,-0.2305553200999675
MRAM,2026-04-13,2026-04-20,10.26,12.35,1.0,2.09,0.20370370370370372,discretionary,post-pivot,0.03296885555993856,0.04632742213456886,0.17073484814376516,0.15737628156913486,5,1.6386369356822132
MRAM,2026-04-13,2026-04-24,10.26,13.5301,3.0,9.810299999999998,0.3187231968810915,discretionary,post-pivot,0.04057721806186554,0.04368644516400377,0.278145978819226,0.27503675171708775,9,1.3493441431988802
RBBN,2026-04-13,2026-04-29,2.47,2.43,15.0,-0.6000000000000014,-0.01619433198380571,stop,post-pivot,0.03713742815441923,0.02644575410161365,-0.05333176013822494,-0.04264008608541936,12,0.23366054692622362
MRAM,2026-04-13,2026-05-05,10.260000000000002,18.25,6.0,47.94,0.7787524366471732,stop,post-pivot,0.0549045796271308,0.06598253889004924,0.7238478570200424,0.712769897757124,16,0.4576385910421852
ORN,2026-04-13,2026-05-06,11.88,15.51,2.0,7.259999999999998,0.30555555555555536,discretionary,post-pivot,0.06956714009973175,0.08197823927540626,0.2359884154558236,0.2235773162801491,17,-0.09071530286382845
ARLO,2026-05-11,2026-05-12,15.25,13.7,8.0,-12.400000000000006,-0.10163934426229515,discretionary,post-pivot,-0.0015148976832113359,-0.009672894730024972,-0.10012444657908381,-0.09196644953227018,1,-0.0313764565884993
ARDX,2026-05-04,2026-05-12,7.2,6.48,17.0,-12.239999999999997,-0.09999999999999998,discretionary,post-pivot,0.028091562774305023,0.01687779640113707,-0.128091562774305,-0.11687779640113705,6,-0.1340137257388595
ORN,2026-04-13,2026-05-21,11.88,13.5,5.0,8.1,0.13636363636363624,stop,post-pivot,0.08252437948414593,0.06571838334026592,0.053839256879490316,0.07064525302337032,28,0.13219564128343553
ECVT,2026-04-13,2026-05-29,13.988,13.24,5.0,-3.74,-0.05347440663425784,stop,post-pivot,0.10257980666649735,0.09567278960641046,-0.1560542133007552,-0.1491471962406683,33,-0.05029378045264843
OSPN,2026-05-26,2026-06-03,13.0,14.63,12.0,19.56,0.12538461538461543,discretionary,post-pivot,0.004862826210845661,-0.009775858787097969,0.12052178917376977,0.1351604741717134,6,0.009998468505918123
ACCO,2026-05-04,2026-06-08,3.9199999999999995,3.85,29.0,-2.029999999999987,-0.017857142857142683,discretionary,post-pivot,0.029539969902385277,0.0224197725772175,-0.04739711275952796,-0.04027691543436018,24,-0.023811515346822354
IMPP,2026-06-01,2026-06-15,5.2,5.25,19.0,0.95,0.009615384615384581,discretionary,post-pivot,-0.0048909531277053775,0.022010835447218824,0.014506337743089959,-0.012395450831834243,10,-0.03219394316906665
INN,2026-06-08,2026-07-08,5.75,6.4,22.0,14.3,0.11304347826086958,stop,post-pivot,0.0109580356064789,0.03543674291051402,0.10208544265439068,0.07760673535035556,20,0.04468864691330765
WKC,2026-04-27,2026-07-10,26.0,34.4,1.0,8.399999999999999,0.32307692307692304,discretionary,post-pivot,0.058342710069044346,0.07055581789603771,0.2647342130078787,0.25252110518088533,51,0.007173705193856295
PHAT,2026-07-13,2026-07-13,12.61,11.5,5.0,-5.549999999999997,-0.08802537668517041,stop,post-pivot,0.0,0.0,-0.08802537668517041,-0.08802537668517041,0,-0.24669057251917748
LXU,2026-07-27,2026-07-28,12.2,11.45,5.0,-3.75,-0.061475409836065587,discretionary,post-pivot,0.0023947666975516757,0.001570446769856071,-0.06387017653361726,-0.06304585660592166,1,-0.1344244804360698
ARDT,2026-07-31,2026-08-06,10.799999999999999,11.1,5.0,1.5,0.0277777777777779,discretionary,post-pivot,0.028820733649203456,0.024210205013352137,-0.001042955871425555,0.0035675727644257638,4,-0.07761167095206023
WKC,2026-04-27,2026-08-06,25.999999999999996,37.66,1.0,11.66,0.44846153846153847,stop,post-pivot,0.07742218710366178,0.07873006942425564,0.3710393513578767,0.3697314690372828,70,-0.0634787293682526
TDAY,2026-06-08,2026-08-06,8.15,7.77,16.0,-6.08,-0.04662576687116571,stop,post-pivot,0.04236902957469657,0.05226591947091763,-0.08899479644586228,-0.09889168634208334,41,-0.19724824482446213
SHO,2026-05-18,2026-08-10,10.199999999999998,11.07,11.0,9.570000000000022,0.08529411764705919,discretionary,post-pivot,0.04924049775085937,0.08958727632604035,0.03605361989619982,-0.004293158678981168,57,0.014701338534636732
ARDT,2026-07-31,2026-08-21,10.799999999999999,10.35,5.0,-2.25,-0.04166666666666663,stop,post-pivot,0.02501895524318365,0.030082424582478895,-0.06668562190985028,-0.07174909124914552,15,
WWW,2026-08-24,2026-09-01,21.099999999999998,19.29,3.0,-5.43,-0.08578199052132696,stop,post-pivot,-0.002213467586632656,-0.024834660478684212,-0.0835685229346943,-0.060947330042642744,6,
TILE,2026-06-15,2026-09-03,32.1,36.24,4.0,16.56,0.12897196261682242,stop,post-pivot,0.026935665192797442,0.001866637645081104,0.10203629742402498,0.12710532497174132,56,
CADL,2026-08-17,2026-09-08,11.43,12.33,10.0,9.0,0.07874015748031504,stop,post-pivot,-0.008684147779703721,-0.030882062300678914,0.08742430526001876,0.10962221978099396,15,
TYRA,2026-09-08,2026-09-09,29.3,22.04,4.0,-29.040000000000006,-0.2477815699658703,discretionary,post-pivot,-0.004647717444469568,-0.013676311139271369,-0.24313385252140074,-0.23410525882659894,1,
PAR,2026-08-17,2026-09-15,19.05,17.05,11.0,-22.0,-0.10498687664041995,stop,post-pivot,-0.01977555234700612,-0.05977529121053171,-0.08521132429341383,-0.045211585429888235,20,
VTS,2026-09-08,2026-09-16,17.85,17.69,6.0,-0.96,-0.008963585434173638,stop,post-pivot,-0.01554910798126563,-0.03396498699872508,0.006585522547091993,0.02500140156455144,6,
