date,horizon,signal,top_n,mean_vs_mean,median_vs_median
2026-06-05,5,low_vol,15,-0.02643984311227622,-0.016711694053592963
2026-06-05,5,low_vol,50,-0.010031480632387424,-0.008621049131379399
2026-06-05,10,composite,15,0.0050224462504520305,0.0006023535006641767
2026-06-05,10,composite,50,-0.009172906434395372,0.0021884427991059052
2026-06-05,10,rule5,15,-0.003551865037482553,0.0037745320975476337
2026-06-05,10,rule5,50,0.002371997262131796,0.0035399221789979007
2026-06-05,10,rule5_mom20,15,0.029987274680855606,0.00647582479781994
2026-06-05,10,rule5_mom20,50,0.005301813148543364,0.004490842775883852
2026-06-05,10,near_high,15,-0.006275075850620048,0.018690125066177843
2026-06-05,10,near_high,50,-0.011463154909050838,-0.004606987526415085
2026-06-05,10,low_vol,15,-0.04620937131294567,-0.02794894359596589
2026-06-05,10,low_vol,50,-0.03206877689932207,-0.016935706502541503
2026-06-05,20,composite,15,0.004172347919505499,0.00898372426626648
2026-06-05,20,composite,50,0.018430532353195875,0.01037048435707677
2026-06-05,20,rule5,15,-0.01405733030881686,0.005451147750153096
2026-06-05,20,rule5,50,0.00793493891470555,0.009170261126727364
2026-06-05,20,rule5_mom20,15,0.017076465205508234,0.00898372426626648
2026-06-05,20,rule5_mom20,50,0.01833597723054864,0.00949132395928698
2026-06-05,20,near_high,15,-0.0072038136096685065,0.018642577719441
2026-06-05,20,near_high,50,0.014797544636141607,0.011102836548250394
2026-06-05,20,low_vol,15,-0.04516207351388715,-0.02249829136930881
2026-06-05,20,low_vol,50,-0.04608481413322361,-0.020824355380977266
2026-06-12,5,composite,15,-0.02148966047150741,-0.021672438619853907
2026-06-12,5,composite,50,-0.00738547714989665,-0.0104323788401538
2026-06-12,5,rule5,15,-0.019169438646051723,-0.008925948757825708
2026-06-12,5,rule5,50,-0.007434448390704215,-0.007400298001057792
2026-06-12,5,rule5_mom20,15,-0.012363297816586565,-0.0032790121078201118
2026-06-12,5,rule5_mom20,50,-0.005188748136045397,-0.0057966491570242695
2026-06-12,5,near_high,15,-0.02183111097809616,-0.0069208510479252805
2026-06-12,5,near_high,50,-0.020857135796900725,-0.008544954000992755
2026-06-12,5,low_vol,15,-0.022123107629122916,-0.005718651069758662
2026-06-12,5,low_vol,50,-0.027076769691103713,-0.01232323846443839
2026-06-12,10,composite,15,0.054458720921404455,0.027210085544874918
2026-06-12,10,composite,50,0.040973797396421485,0.028232426206521
2026-06-12,10,rule5,15,0.010698272020816954,0.02512982340454828
2026-06-12,10,rule5,50,0.005209772168807393,0.019297053119696317
2026-06-12,10,rule5_mom20,15,0.01307635185673496,0.027210085544874918
2026-06-12,10,rule5_mom20,50,0.013213234543957633,0.023706371608390064
2026-06-12,10,near_high,15,-0.020574383502452658,-0.004171228036349284
2026-06-12,10,near_high,50,0.0036500700870829156,0.013917686538844842
2026-06-12,10,low_vol,15,-0.041780014616791865,-0.013251655631337789
2026-06-12,10,low_vol,50,-0.0392670357566995,-0.014305731533878707
2026-06-12,20,composite,15,0.05539985787397303,0.046869363723445634
2026-06-12,20,composite,50,0.06434657512632025,0.034518213859237035
2026-06-12,20,rule5,15,0.03370362360493871,0.032902662483340395
2026-06-12,20,rule5,50,0.039667931414463356,0.026481858591106633
2026-06-12,20,rule5_mom20,15,0.04158467605032137,0.030992629761127377
2026-06-12,20,rule5_mom20,50,0.03127995241522215,0.026481858591106633
2026-06-12,20,near_high,15,0.01454727964098286,0.01836477390430602
2026-06-12,20,near_high,50,0.025297657441338873,0.025755574191397512
2026-06-12,20,low_vol,15,-0.01584520602742623,0.01575342617665898
2026-06-12,20,low_vol,50,-0.00809127491009938,0.007989189715060241
2026-06-18,5,composite,15,0.05021924768863051,0.06535579866259555
2026-06-18,5,composite,50,0.04289130142260968,0.038548912376262456
2026-06-18,5,rule5,15,0.029542096142921005,0.03075725874702362
2026-06-18,5,rule5,50,0.0396873499121967,0.03787822972425747
2026-06-18,5,rule5_mom20,15,0.05401169032992,0.051017755114229124
2026-06-18,5,rule5_mom20,50,0.05083431760836528,0.041429911184374
2026-06-18,5,near_high,15,0.06407780045101916,0.04334134762788622
2026-06-18,5,near_high,50,0.01780931324657139,0.01737219939735246
2026-06-18,5,low_vol,15,-0.001723350248404518,0.0034970009963722903
2026-06-18,5,low_vol,50,0.01779053028948213,0.008713205027148896
2026-06-18,10,composite,15,0.040796767151975805,0.049385017963086586
2026-06-18,10,composite,50,0.037756223902059,0.02361634893933595
2026-06-18,10,rule5,15,-0.009905371540424812,0.006459251038151592
2026-06-18,10,rule5,50,0.023738953773677147,0.024679393027630447
2026-06-18,10,rule5_mom20,15,0.02760103808129342,0.029902915340813463
2026-06-18,10,rule5_mom20,50,0.026250027313311757,0.01623148802392138
2026-06-18,10,near_high,15,0.043883311731099314,0.0216191102712191
2026-06-18,10,near_high,50,-0.008348037040520808,0.004066099290712222
2026-06-18,10,low_vol,15,-0.023611285817645322,-0.003717563400248647
2026-06-18,10,low_vol,50,-0.00819282460475109,-0.002156317825212306
2026-06-18,20,composite,15,0.08886719943696797,0.10523211753340767
2026-06-18,20,composite,50,0.07688013542767633,0.06782919714470736
2026-06-18,20,rule5,15,0.05739808063062193,0.04929151459047443
2026-06-18,20,rule5,50,0.0680207517004964,0.04854397798999044
2026-06-18,20,rule5_mom20,15,0.07752419921567719,0.07997870270318752
2026-06-18,20,rule5_mom20,50,0.07916535727789772,0.05248560308835082
2026-06-18,20,near_high,15,0.10412988710422262,0.08568647104356875
2026-06-18,20,near_high,50,0.03491314449379529,0.06571511013331155
2026-06-18,20,low_vol,15,0.0291403489572326,0.02969391124724452
2026-06-18,20,low_vol,50,0.049712847262387894,0.04960506988819513
2026-06-26,5,composite,15,-0.004971718091532672,0.004551641814851237
2026-06-26,5,composite,50,0.0021674004971320923,0.0022655425061387513
2026-06-26,5,rule5,15,-0.02700590502005901,-0.03439635102502603
2026-06-26,5,rule5,50,-0.00967158100443858,-0.015967758248945807
2026-06-26,5,rule5_mom20,15,-0.022770225558713657,-0.024319465322020117
2026-06-26,5,rule5_mom20,50,-0.007094070933781421,-0.015967758248945807
2026-06-26,5,near_high,15,-0.006958504151324832,-0.02602447074194625
2026-06-26,5,near_high,50,-0.017199636874903466,-0.018175287860380474
2026-06-26,5,low_vol,15,-0.023464707857345498,-0.02110171884283696
2026-06-26,5,low_vol,50,-0.02723407889723075,-0.021429407572809922
2026-06-26,10,composite,15,0.03879587721320352,0.024897465709111055
2026-06-26,10,composite,50,0.03272608324003173,0.024499702419528535
2026-06-26,10,rule5,15,0.001274719996502029,-0.009068483224732582
2026-06-26,10,rule5,50,0.019766415061311424,0.002887951596955707
2026-06-26,10,rule5_mom20,15,0.026320497950463834,-0.00022466197076992378
2026-06-26,10,rule5_mom20,50,0.01869604290126796,0.0035112884849727855
2026-06-26,10,near_high,15,0.027606700723000303,0.019506698933656808
2026-06-26,10,near_high,50,0.02162711698348216,0.009064380209418188
2026-06-26,10,low_vol,15,0.00854120136998638,0.0032371835458978038
2026-06-26,10,low_vol,50,0.0036649476743933988,0.002887951596955707
2026-06-26,20,composite,15,0.09455991307562941,0.071463609810555
2026-06-26,20,composite,50,0.06107370078016258,0.05135902829057082
2026-06-26,20,rule5,15,0.05316770296535291,0.020815697749591577
2026-06-26,20,rule5,50,0.05446394349609477,0.04361870750623964
2026-06-26,20,rule5_mom20,15,0.08351995374459947,0.04434880289946652
2026-06-26,20,rule5_mom20,50,0.06296094854755999,0.04854917153755445
2026-06-26,20,near_high,15,0.07620618430509743,0.07829486328387181
2026-06-26,20,near_high,50,0.04996068663243165,0.05123979615247476
2026-06-26,20,low_vol,15,0.04837366841674093,0.0439197570540788
2026-06-26,20,low_vol,50,0.046483161241902854,0.0410271952595499
2026-07-02,5,composite,15,0.017322283767085264,0.018181801292662225
2026-07-02,5,composite,50,0.0051022285189572265,0.007608863048303938
2026-07-02,5,rule5,15,0.012814558729731975,0.011237396400683775
2026-07-02,5,rule5,50,0.004595724796411392,0.010286987008795934
2026-07-02,5,rule5_mom20,15,0.010918767192045192,0.00787255145725485
2026-07-02,5,rule5_mom20,50,0.003134886533972739,0.0076871067315157915
2026-07-02,5,near_high,15,0.01858172834325052,0.016975015857869646
2026-07-02,5,near_high,50,0.006777059315843385,0.00934342477806488
2026-07-02,5,low_vol,15,0.006067727894827225,0.01894401386652378
2026-07-02,5,low_vol,50,0.009815934239632326,0.013854888990369851
2026-07-02,10,composite,15,0.05744679354122468,0.048666254554440735
2026-07-02,10,composite,50,0.0359789053806651,0.035361033464298364
2026-07-02,10,rule5,15,0.056942073327649556,0.04526287169232779
2026-07-02,10,rule5,50,0.04839463073240647,0.0448173639629047
2026-07-02,10,rule5_mom20,15,0.056216233908112034,0.04710741152600928
2026-07-02,10,rule5_mom20,50,0.039392880117033804,0.04284978174052134
2026-07-02,10,near_high,15,0.07571255741526982,0.0563656571218889
2026-07-02,10,near_high,50,0.06006896375662765,0.046168499853439515
2026-07-02,10,low_vol,15,0.04904936306821,0.04702531007527866
2026-07-02,10,low_vol,50,0.058480021385389006,0.04524622993659877
2026-07-02,20,composite,15,0.035268091819800756,0.053648682366906175
2026-07-02,20,composite,50,0.03987436052735751,0.03483442198325182
2026-07-02,20,rule5,15,0.04515512469520706,0.04652578663535217
2026-07-02,20,rule5,50,0.04428190587783326,0.0480545404777904
2026-07-02,20,rule5_mom20,15,0.043131927960933035,0.04652578663535217
2026-07-02,20,rule5_mom20,50,0.04588120040482744,0.04566335181204023
2026-07-02,20,near_high,15,0.06638128087863862,0.0708727133947003
2026-07-02,20,near_high,50,0.05405553161001456,0.054448636653806615
2026-07-02,20,low_vol,15,0.05236521795223553,0.044262818182884744
2026-07-02,20,low_vol,50,0.0611099050945164,0.04751919532783622
2026-07-10,5,composite,15,0.012805454815781572,-0.001167126153854614
2026-07-10,5,composite,50,0.012349006727052306,0.009031799688794862
2026-07-10,5,rule5,15,0.03590156109321989,0.044932544328433854
2026-07-10,5,rule5,50,0.022926892388635458,0.02436492940611379
2026-07-10,5,rule5_mom20,15,0.021607471856873388,0.027745731904281312
2026-07-10,5,rule5_mom20,50,0.03126812258469215,0.02436492940611379
2026-07-10,5,near_high,15,0.045500581207722844,0.033213730186719026
2026-07-10,5,near_high,50,0.041576399250821565,0.03815650041262397
2026-07-10,5,low_vol,15,0.04785679210592224,0.044932544328433854
2026-07-10,5,low_vol,50,0.0461040725697582,0.03688969571644307
2026-07-10,10,composite,15,0.027503361505083625,0.02214182446672608
2026-07-10,10,composite,50,0.017175039096436674,0.01923905254508712
2026-07-10,10,rule5,15,0.07293276984646227,0.0697794162785439
2026-07-10,10,rule5,50,0.030479681667223764,0.03270970280447599
2026-07-10,10,rule5_mom20,15,0.04489686461740432,0.04866088926835532
2026-07-10,10,rule5_mom20,50,0.03310929202958299,0.03270970280447599
2026-07-10,10,near_high,15,0.07209066466673206,0.05124257361836482
2026-07-10,10,near_high,50,0.037935389927298904,0.0346835892552429
2026-07-10,10,low_vol,15,0.05082195891884398,0.05009034840662596
2026-07-10,10,low_vol,50,0.05470572410610955,0.04231793607356665
2026-07-10,20,composite,15,-0.051263497093052536,-0.0530896114177104
2026-07-10,20,composite,50,0.01241754283308508,-0.01664240055143318
2026-07-10,20,rule5,15,0.02554590898330795,-0.007062334766212319
2026-07-10,20,rule5,50,0.01878196709408457,0.006097300452770571
2026-07-10,20,rule5_mom20,15,0.013859583778121014,0.0020747362086480647
2026-07-10,20,rule5_mom20,50,0.0065596494740238365,-0.009438278216653884
2026-07-10,20,near_high,15,0.05544937904982867,0.013292407837821263
2026-07-10,20,near_high,50,0.01715287361028907,0.01419486669068537
2026-07-10,20,low_vol,15,-0.009732029857785799,-0.007062334766212319
2026-07-10,20,low_vol,50,0.0047682313095279635,0.009282265101633325
2026-07-17,5,composite,15,0.026317971597165472,0.0064110258830417655
2026-07-17,5,composite,50,0.013332170890744396,0.007954693795019618
2026-07-17,5,rule5,15,0.023249199737594078,0.0037121917086356815
2026-07-17,5,rule5,50,0.01915243757203296,0.0050616087958387235
2026-07-17,5,rule5_mom20,15,0.025990771725995152,0.015747416760102273
2026-07-17,5,rule5_mom20,50,0.009277370806606958,0.000938438491192739
