date,horizon,signal,ic_magnitude
2026-05-01,10,low_vol,-0.06292275951008484
2026-05-01,10,near_high,0.08854781942445278
2026-05-01,10,vs_sma50,0.09871286225024704
2026-05-01,10,vs_sma20,0.10515202357973713
2026-05-01,10,rule5,0.009512496466990202
2026-05-01,10,rule5_mom20,0.03944257947805714
2026-05-01,20,mom20,0.12919387122737905
2026-05-01,20,vol_ratio,-0.030363257230160045
2026-05-01,20,squeeze,-0.20583382264662192
2026-05-01,20,composite,-0.03473983797121875
2026-05-01,20,mom5,-0.01606163861591822
2026-05-01,20,mom60_skip5,0.0017298971337172343
2026-05-01,20,mom60_riskadj,0.017381825935503876
2026-05-01,20,vol_5_50,0.07002031478270943
2026-05-01,20,squeeze_own,-0.10629379406866886
2026-05-01,20,low_vol,-0.18874593802723003
2026-05-01,20,near_high,-0.019183767611307766
2026-05-01,20,vs_sma50,0.06103032357969113
2026-05-01,20,vs_sma20,0.07692906460140157
2026-05-01,20,rule5,-0.0810172230705474
2026-05-01,20,rule5_mom20,-0.037577607471731944
2026-05-08,5,mom20,0.0009343749625917349
2026-05-08,5,vol_ratio,-0.016392629911686607
2026-05-08,5,squeeze,0.016868248405764192
2026-05-08,5,composite,-0.007928323012292049
2026-05-08,5,mom5,-0.051165452783383844
2026-05-08,5,mom60_skip5,0.1057809677627092
2026-05-08,5,mom60_riskadj,0.11018083804825791
2026-05-08,5,vol_5_50,-0.042162374041140385
2026-05-08,5,squeeze_own,0.015637087281450125
2026-05-08,5,low_vol,0.02302130938889561
2026-05-08,5,near_high,0.08711716648746035
2026-05-08,5,vs_sma50,0.044224036752964026
2026-05-08,5,vs_sma20,0.027647925384210195
2026-05-08,5,rule5,0.02575578889376152
2026-05-08,5,rule5_mom20,0.025403525756919648
2026-05-08,10,mom20,0.01117781440347401
2026-05-08,10,vol_ratio,0.07260562299636461
2026-05-08,10,squeeze,-0.01833456495667128
2026-05-08,10,composite,0.026715287454572096
2026-05-08,10,mom5,-0.018124251779686153
2026-05-08,10,mom60_skip5,0.07579064531769628
2026-05-08,10,mom60_riskadj,0.08031394306508326
2026-05-08,10,vol_5_50,0.09423087974102753
2026-05-08,10,squeeze_own,-0.042481489903353
2026-05-08,10,low_vol,-0.0072866901731923304
2026-05-08,10,near_high,0.0905282630845096
2026-05-08,10,vs_sma50,0.04127291868650502
2026-05-08,10,vs_sma20,0.015841532717034548
2026-05-08,10,rule5,0.05975545063273493
2026-05-08,10,rule5_mom20,0.059863728622455974
2026-05-08,20,mom20,0.017378423018882164
2026-05-08,20,vol_ratio,0.055820523144946746
2026-05-08,20,squeeze,0.016208341513917018
2026-05-08,20,composite,0.05111169772237143
2026-05-08,20,mom5,-0.0016361282709399922
2026-05-08,20,mom60_skip5,0.02730900192340207
2026-05-08,20,mom60_riskadj,0.0449430691639022
2026-05-08,20,vol_5_50,0.09273095156900368
2026-05-08,20,squeeze_own,-0.004168937384581435
2026-05-08,20,low_vol,0.010508994091355488
2026-05-08,20,near_high,0.11094894793026076
2026-05-08,20,vs_sma50,0.039458503239777225
2026-05-08,20,vs_sma20,0.03788097692126414
2026-05-08,20,rule5,0.08655822163918457
2026-05-08,20,rule5_mom20,0.08727275527648459
2026-05-15,5,mom20,-0.021007618374557616
2026-05-15,5,vol_ratio,-0.0047401214352622385
2026-05-15,5,squeeze,-0.05083844106183488
2026-05-15,5,composite,-0.05974665853339671
2026-05-15,5,mom5,-0.08172184727722447
2026-05-15,5,mom60_skip5,0.008236555093663516
2026-05-15,5,mom60_riskadj,-0.008051536521214897
2026-05-15,5,vol_5_50,0.09263775030723805
2026-05-15,5,squeeze_own,-0.08639378441500858
2026-05-15,5,low_vol,-0.03805536979800984
2026-05-15,5,near_high,-0.030245389264399163
2026-05-15,5,vs_sma50,-0.023548913094820916
2026-05-15,5,vs_sma20,-0.05056982667227602
2026-05-15,5,rule5,-0.0366534774610153
2026-05-15,5,rule5_mom20,-0.03697093757762657
2026-05-15,10,mom20,-0.012107443734520034
2026-05-15,10,vol_ratio,-0.012892775790346872
2026-05-15,10,squeeze,-0.08243427275804165
2026-05-15,10,composite,-0.07210114593323008
2026-05-15,10,mom5,-0.14959254837751662
2026-05-15,10,mom60_skip5,0.03123723133204331
2026-05-15,10,mom60_riskadj,0.022109276590851906
2026-05-15,10,vol_5_50,0.11537390736711961
2026-05-15,10,squeeze_own,-0.04612508354816847
2026-05-15,10,low_vol,-0.09732535663108176
2026-05-15,10,near_high,-0.034789081910180084
2026-05-15,10,vs_sma50,0.012163242109249524
2026-05-15,10,vs_sma20,-0.03407845494129374
2026-05-15,10,rule5,-0.045191094754088744
2026-05-15,10,rule5_mom20,-0.03910654060064421
2026-05-15,20,mom20,0.001233800617774759
2026-05-15,20,vol_ratio,0.018601054771706767
2026-05-15,20,squeeze,-0.008626855884877676
2026-05-15,20,composite,-0.006414647536016829
2026-05-15,20,mom5,-0.06489532951170227
2026-05-15,20,mom60_skip5,-0.023043910572811733
2026-05-15,20,mom60_riskadj,-0.019036053210187483
2026-05-15,20,vol_5_50,0.07932787051730095
2026-05-15,20,squeeze_own,-0.04435240736714057
2026-05-15,20,low_vol,0.016818461950248928
2026-05-15,20,near_high,0.031199905112970647
2026-05-15,20,vs_sma50,0.01702891006792059
2026-05-15,20,vs_sma20,0.00020920779928123345
2026-05-15,20,rule5,0.039246083847468465
2026-05-15,20,rule5_mom20,0.03648444126320887
2026-05-22,5,mom20,0.06373533544636588
2026-05-22,5,vol_ratio,0.08278059372030132
2026-05-22,5,squeeze,-0.08569158174013035
2026-05-22,5,composite,0.02822725060161179
2026-05-22,5,mom5,0.06246975263089441
2026-05-22,5,mom60_skip5,0.05565637539594405
2026-05-22,5,mom60_riskadj,0.05307904812671349
2026-05-22,5,vol_5_50,0.029008827609518822
2026-05-22,5,squeeze_own,-0.024002764991383662
2026-05-22,5,low_vol,-0.12005851952693045
2026-05-22,5,near_high,-0.0004063071262704384
2026-05-22,5,vs_sma50,0.08488809442525334
2026-05-22,5,vs_sma20,0.03462885598551147
2026-05-22,5,rule5,-0.005852980587910796
2026-05-22,5,rule5_mom20,0.0056987709572994686
2026-05-22,10,mom20,0.10090388349742396
2026-05-22,10,vol_ratio,-0.01796891863668261
2026-05-22,10,squeeze,-0.004516008769189457
2026-05-22,10,composite,0.0546275016018747
2026-05-22,10,mom5,0.005903517259007698
2026-05-22,10,mom60_skip5,0.08634873757123879
2026-05-22,10,mom60_riskadj,0.07413122628869655
2026-05-22,10,vol_5_50,-0.01567852406917218
2026-05-22,10,squeeze_own,-0.005088102637264057
2026-05-22,10,low_vol,-0.0017504562400045452
2026-05-22,10,near_high,0.11017561471751613
2026-05-22,10,vs_sma50,0.13192191965558497
2026-05-22,10,vs_sma20,0.06910551654686489
2026-05-22,10,rule5,0.06193424298638923
2026-05-22,10,rule5_mom20,0.07480446218973645
2026-05-22,20,mom20,0.08043804895440439
2026-05-22,20,vol_ratio,-0.049506998999562554
2026-05-22,20,squeeze,-0.009293030787908734
2026-05-22,20,composite,0.01491946863358197
2026-05-22,20,mom5,0.06536884911417909
2026-05-22,20,mom60_skip5,0.036956347474366096
2026-05-22,20,mom60_riskadj,0.037234842455756034
2026-05-22,20,vol_5_50,0.006767349254233028
2026-05-22,20,squeeze_own,-0.025632499735031462
2026-05-22,20,low_vol,0.0050876719560888975
2026-05-22,20,near_high,0.09199977202753902
2026-05-22,20,vs_sma50,0.09132219247765405
2026-05-22,20,vs_sma20,0.05097904436761008
2026-05-22,20,rule5,0.03987626862502529
2026-05-22,20,rule5_mom20,0.05089014074751469
2026-05-29,5,mom20,-0.044067696055217855
2026-05-29,5,vol_ratio,0.10752037091462457
2026-05-29,5,squeeze,0.13480728688641716
2026-05-29,5,composite,0.08842241694007044
2026-05-29,5,mom5,-0.047763863299402264
2026-05-29,5,mom60_skip5,0.06840214462475361
2026-05-29,5,mom60_riskadj,0.0705596363471892
2026-05-29,5,vol_5_50,-0.020790765037494528
2026-05-29,5,squeeze_own,0.004052106480472898
2026-05-29,5,low_vol,0.1786318013515204
2026-05-29,5,near_high,0.16282642463890507
2026-05-29,5,vs_sma50,0.020094693589863034
2026-05-29,5,vs_sma20,-0.018298334724167337
2026-05-29,5,rule5,0.14874880675152258
2026-05-29,5,rule5_mom20,0.12087979820661368
2026-05-29,10,mom20,0.008344984626893448
2026-05-29,10,vol_ratio,0.045377401991019604
2026-05-29,10,squeeze,0.10760707374252619
2026-05-29,10,composite,0.07987337302984644
2026-05-29,10,mom5,-0.047107520888591325
2026-05-29,10,mom60_skip5,0.07587845372172555
2026-05-29,10,mom60_riskadj,0.07978535195541193
2026-05-29,10,vol_5_50,-0.031167433617844235
2026-05-29,10,squeeze_own,0.015228342330625722
2026-05-29,10,low_vol,0.1322171962882876
